Name,Category,Level,url,Beginner,Explanation,Animation,Pab,Keyword,Comment
キャラクター,キャラクター, 1,https://www.youtube.com/watch?v=4yv5BVSwAuQ,1,1,0,1,キャラクター ミラー,Blender初めての人におすすめです
キャラクター(猿),キャラクター, 1,https://www.youtube.com/watch?v=9AHH3bc7Ras,0,1,0,0,猿 ミラー ソリッド化 , 
カプセル錠剤,アイテム,1,https://www.youtube.com/watch?v=Mp_8XHBUTpg,0,1,0,0,薬 ミラー, 
スプーン,アイテム,1,https://www.youtube.com/watch?v=9PFgDHBSxHo,0,1,0,0,スプーン 金属 ソリッド化 ,メタルな質感を表現できるよ
ソファ,部屋,1,https://www.youtube.com/watch?v=bIiKZZmRryg,0,1,0,0,ソファ ベベル ミラー, 
ビル,建物,1,https://www.youtube.com/watch?v=a3o4_ppvpso,0,1,0,1,ビル ブーリアン 配列,配列やブーリアンの使い方が分かるよ!!
スライム,キャラクター,1,https://www.youtube.com/watch?v=26OTHt7baNk,0,1,0,0,スライム テクスチャ,テクスチャの貼り方が分かるよ
りんご,食べ物,1,https://www.youtube.com/watch?v=DsNZzUZPhw4,1,1,0,0,りんご,基本操作やショートカットキーの説明を最初にしてくれています！画像の出力の仕方まで分かるよ！
バナナ,食べ物,1,https://www.youtube.com/watch?v=SADx6_q4N0g,0,1,0,0,バナナ , 
コーヒー入りマグカップ,食べ物,1,https://www.youtube.com/watch?v=hrLyFoRpilM,0,1,0,0,コップ , 
猫,キャラクター,1,https://www.youtube.com/watch?v=uMeXuB82uZc,1,1,0,1,猫 ネコ,基本操作が丁寧に解説されています。ショートカットがテロップで示されていて分かりやすいよ!!
ネコチャン,キャラクター,1,https://www.youtube.com/watch?v=1HSSqb582ro,0,1,0,0,猫 ネコ ミラー ソリッド化,サブディビジョンサーフェスのイケてる使い方が学べます😺
本,アイテム,1,https://www.youtube.com/watch?v=2dgXQbo3fDw,0,1,0,0,本,面ごとにマテリアルを設定する方法が学べます📕
ノートパソコン,アイテム,1,https://www.youtube.com/watch?v=kRtj3EeUtzM,0,1,0,0,PC パソコン 配列,配列の使い方が分かるよ💻
コイン,アイテム,1,https://www.youtube.com/watch?v=C4G5BLfgJZc,0,1,0,0,コイン ゲーム,ゲーム内アイテムを自作してみませんか?!💰
サイコロ,アイテム,1,https://www.youtube.com/watch?v=gV-E0XJUTWg,0,1,0,0,テクスチャペイント ,テクスチャペイントでサイコロを作ってみよう！！
丸イス,アイテム,1,https://www.youtube.com/watch?v=pSkQSJzOjHg,0,1,0,0,イス 椅子, 
アニメーションの基礎,その他,1,https://www.youtube.com/watch?v=WMEsCBe4V2k,0,1,1,1,アニメーション,アニメーションに初めて挑戦しようと思っている君へ
